Station_ID,Location,Temperature_C,Humidity_%,Wind_Speed_kmh,Precipitation_mm,Air_Quality_Index,Date,Sensor_Status,Notes,Region,Elevation_m
STN_0304,,-5.2,100%,N/A,0,Poor,N/A,ok,Data lost,East,Two Thousand
STN_0305,,thirty,90,18.2,rainy,Excellent,2025-10-01,,Data lost,West,2300
STN_0306,,N/A,90,Twenty,20mm,Severe,2025-10-01,FAULTY,Check sensor,Unknown,120
STN_0307,Desrt ,30.1,100%,18.2,,Excellent,2025-10-01,Active,Data lost,South,Two Thousand
STN_0308,Desrt ,30.1,eighty,15km/h,,Excellent,03-10-25,FAULTY,Calibration needed,,N/A
STN_0309,Amazon,,,18.2,rainy,Moderate,N/A,Active,Check sensor,West,
STN_0310,Desrt ,,,18.2,,Poor,,Active,Check sensor,Unknown,120
STN_0311,Himalaya,30.1,eighty,12.5,,,10/02/2025,ok,,West,550
STN_0312,Himalaya,15.7,90,18.2,,Excellent,03-10-25,OFF,,South,2300
,Desrt ,,90,N/A,0.0,Excellent,,FAULTY,Data lost,,550
STN_0314,Pacific,-5.2,35,12.5,20mm,150,N/A,,Check sensor,West,N/A
STN_0315,Arctic,thirty,90,,12.3,Moderate,2025-10-01,FAULTY,,West,N/A
STN_0316,Desrt ,30.1,60,Twenty,20mm,Moderate,N/A,ok,Calibration needed,North,550
STN_0317,,40.3,90,12.5,rainy,,10/02/2025,Active,,West,120
STN_0318,Sahara,,75,15km/h,,Severe,03-10-25,ok,normal,North,550
STN_0319,Arctic,30.1,35,,20mm,Good,03-10-25,Inactive,normal,,Two Thousand
STN_0320,Arctic,N/A,45,12.5,0.0,150,10/02/2025,Inactive,,Unknown,550
STN_0321,Himalaya,22.5,90,12.5,rainy,Moderate,,,Check sensor,Unknown,2300
STN_0322,Arctic,thirty,eighty,Twenty,4.5,150,,ok,Check sensor,,2300
STN_0323,Desrt ,30.1,45,N/A,20mm,Moderate,03-10-25,,Storm impact,,
STN_0324,,22.5,60,15km/h,4.5,150,03-10-25,,normal,East,2300
STN_0325,,,eighty,25.7,,Poor,2025-10-01,Inactive,Calibration needed,,550
STN_0326,Amazon,22.5,45,25.7,0.0,Excellent,,,Check sensor,West,2300
STN_0327,,thirty,eighty,12.5,0.0,Moderate,10/02/2025,Inactive,Data lost,Unknown,120
STN_0328,,30.1,60,18.2,20mm,150,,Active,normal,South,2300
STN_0329,Himalaya,N/A,35,15km/h,rainy,Good,2025-10-01,ok,Calibration needed,Unknown,Two Thousand
STN_0330,,15.7,75,,rainy,Poor,03-10-25,,Calibration needed,North,120
STN_0331,Amazon,,60,18.2,0.0,Poor,03-10-25,Inactive,Check sensor,Unknown,
STN_0332,Sahara,30.1,60,18.2,rainy,Good,2025-10-01,FAULTY,Calibration needed,East,Two Thousand
,Desrt ,thirty,eighty,15km/h,0.0,150,10/02/2025,,Check sensor,,550
STN_0334,Himalaya,,35,N/A,20mm,,03-10-25,OFF,,,550
STN_0335,Sahara,-5.2,100%,12.5,12.3,Good,N/A,Active,normal,Unknown,550
STN_0336,Himalaya,22.5,,12.5,0.0,150,03-10-25,Active,Storm impact,South,Two Thousand
STN_0337,Pacific,15.7,90,12.5,4.5,Good,N/A,FAULTY,,South,Two Thousand
STN_0338,Arctic,thirty,90,12.5,rainy,Good,2025-10-01,Inactive,normal,East,Two Thousand
STN_0339,Pacific,-5.2,75,25.7,0.0,Moderate,2025-10-01,,Check sensor,North,120
STN_0340,,40.3,75,12.5,0.0,150,03-10-25,Inactive,normal,Unknown,N/A
STN_0341,Sahara,30.1,90,25.7,20mm,,,Active,Check sensor,,120
STN_0342,,N/A,,25.7,rainy,Excellent,N/A,Inactive,,Unknown,550
STN_0343,Arctic,,90,N/A,12.3,Moderate,10/02/2025,Active,Data lost,East,N/A
STN_0344,Himalaya,22.5,100%,12.5,20mm,Good,03-10-25,Inactive,Data lost,West,2300
STN_0345,Arctic,,,Twenty,12.3,Excellent,10/02/2025,FAULTY,normal,West,550
STN_0346,Amazon,15.7,75,,20mm,Severe,03-10-25,ok,Data lost,East,
STN_0347,Arctic,30.1,45,18.2,rainy,Excellent,,FAULTY,Check sensor,,120
STN_0348,Amazon,,eighty,25.7,0,Good,,FAULTY,Calibration needed,East,Two Thousand
STN_0349,Arctic,22.5,100%,15km/h,rainy,Good,,ok,Check sensor,,120
STN_0350,Desrt ,30.1,100%,15km/h,rainy,150,,ok,Calibration needed,South,Two Thousand
STN_0351,Amazon,,35,,12.3,150,2025-10-01,,,East,N/A
STN_0352,Sahara,N/A,75,15km/h,12.3,Moderate,2025-10-01,,Storm impact,,
STN_0353,,thirty,75,Twenty,rainy,,N/A,FAULTY,Calibration needed,East,N/A
STN_0354,,30.1,60,15km/h,rainy,Moderate,10/02/2025,FAULTY,Data lost,East,
STN_0355,Pacific,thirty,100%,18.2,rainy,Poor,03-10-25,Active,Check sensor,,120
STN_0356,,40.3,60,18.2,12.3,Good,03-10-25,Active,,,Two Thousand
,Himalaya,30.1,60,25.7,rainy,Excellent,2025-10-01,,Data lost,North,N/A
STN_0358,Desrt ,N/A,eighty,12.5,rainy,Severe,03-10-25,OFF,,East,
STN_0359,Arctic,thirty,60,N/A,,Good,2025-10-01,OFF,Storm impact,West,550
STN_0360,Pacific,-5.2,,Twenty,0,Good,N/A,,Check sensor,East,550
STN_0361,Himalaya,22.5,90,25.7,4.5,Moderate,10/02/2025,Active,normal,East,N/A
STN_0362,Himalaya,-5.2,45,Twenty,0,Severe,N/A,Active,Check sensor,,Two Thousand
STN_0363,Amazon,,75,12.5,,Severe,,OFF,Storm impact,East,N/A
STN_0364,,N/A,,15km/h,4.5,Severe,,Inactive,Check sensor,Unknown,120
STN_0365,Sahara,-5.2,45,15km/h,20mm,Moderate,,Inactive,normal,East,
STN_0366,Sahara,30.1,100%,N/A,rainy,Good,N/A,Active,Calibration needed,Unknown,120
STN_0367,Pacific,,100%,12.5,,Moderate,03-10-25,Inactive,,West,550
STN_0368,Desrt ,,100%,25.7,20mm,150,10/02/2025,ok,normal,,
STN_0369,Sahara,-5.2,,N/A,rainy,150,,,Data lost,East,N/A
STN_0370,Arctic,40.3,,12.5,12.3,Moderate,,,Storm impact,Unknown,120
STN_0371,Sahara,-5.2,75,,0.0,Severe,,Active,Calibration needed,Unknown,2300
,Pacific,40.3,90,18.2,,Good,10/02/2025,FAULTY,Data lost,Unknown,Two Thousand
STN_0373,Sahara,N/A,35,N/A,12.3,Moderate,,OFF,Data lost,South,Two Thousand
STN_0374,Arctic,22.5,60,N/A,,Moderate,10/02/2025,Active,Storm impact,North,2300
STN_0375,Amazon,-5.2,100%,25.7,,Moderate,,Inactive,Calibration needed,West,550
STN_0376,Desrt ,15.7,eighty,Twenty,12.3,Poor,N/A,OFF,Data lost,East,
STN_0377,Pacific,40.3,90,,4.5,150,N/A,FAULTY,Data lost,South,Two Thousand
,Amazon,-5.2,eighty,25.7,0,Excellent,10/02/2025,Inactive,Calibration needed,East,2300
STN_0379,Amazon,thirty,75,12.5,rainy,Severe,N/A,ok,Check sensor,East,N/A
STN_0380,Amazon,30.1,75,12.5,,,10/02/2025,Inactive,Data lost,,2300
STN_0381,Himalaya,15.7,75,12.5,rainy,Excellent,N/A,ok,,,550
STN_0382,Desrt ,15.7,45,12.5,0.0,Severe,N/A,OFF,Calibration needed,,550
STN_0383,,40.3,eighty,Twenty,12.3,,10/02/2025,ok,Data lost,South,120
STN_0384,Desrt ,thirty,90,,rainy,Poor,03-10-25,OFF,Storm impact,East,Two Thousand
STN_0385,Himalaya,thirty,35,15km/h,12.3,Moderate,N/A,OFF,normal,North,120
STN_0386,,,90,18.2,rainy,Poor,,OFF,,West,2300
STN_0387,Desrt ,40.3,,Twenty,0,Poor,03-10-25,OFF,normal,,
STN_0388,Amazon,22.5,,Twenty,0,Excellent,10/02/2025,OFF,normal,,
STN_0389,Pacific,30.1,100%,15km/h,0,Good,03-10-25,Inactive,Data lost,East,550
STN_0390,,N/A,35,15km/h,0,Excellent,2025-10-01,OFF,,East,
STN_0391,Arctic,15.7,,18.2,0,150,2025-10-01,Inactive,,South,
STN_0392,Arctic,N/A,75,18.2,0,,N/A,OFF,Check sensor,South,
STN_0393,Sahara,-5.2,90,15km/h,12.3,Moderate,N/A,ok,normal,,2300
STN_0394,,-5.2,eighty,12.5,,Excellent,,OFF,,East,
STN_0395,Pacific,N/A,75,Twenty,rainy,,03-10-25,FAULTY,Check sensor,North,N/A
STN_0396,Himalaya,-5.2,45,25.7,0,Severe,2025-10-01,OFF,Calibration needed,West,
STN_0397,Amazon,22.5,,18.2,12.3,,N/A,OFF,Check sensor,East,
STN_0398,Sahara,thirty,75,18.2,12.3,Severe,03-10-25,ok,Storm impact,East,120
STN_0399,Arctic,-5.2,75,15km/h,12.3,Excellent,N/A,,Data lost,Unknown,2300
STN_0400,Himalaya,,45,,,150,N/A,ok,Calibration needed,South,550
STN_0401,Himalaya,-5.2,60,25.7,rainy,Excellent,2025-10-01,FAULTY,Calibration needed,West,120
STN_0402,Amazon,30.1,90,25.7,,Severe,2025-10-01,,Storm impact,,Two Thousand
STN_0403,,22.5,eighty,18.2,4.5,,N/A,Active,Check sensor,East,2300
STN_0404,Arctic,30.1,100%,12.5,20mm,,10/02/2025,Active,Data lost,,N/A
STN_0405,Pacific,30.1,60,,12.3,Severe,N/A,FAULTY,Check sensor,East,2300
STN_0406,Himalaya,,,25.7,4.5,Poor,N/A,ok,,,Two Thousand
STN_0407,Amazon,22.5,75,18.2,0.0,150,,Inactive,Check sensor,West,Two Thousand
,Pacific,22.5,35,25.7,0,Good,,FAULTY,Calibration needed,South,Two Thousand
STN_0409,,40.3,45,N/A,20mm,Moderate,,,Data lost,West,550
STN_0410,Arctic,22.5,45,,0,,10/02/2025,,Check sensor,Unknown,
STN_0411,,22.5,35,,,Moderate,10/02/2025,OFF,Data lost,North,2300
STN_0412,Himalaya,22.5,90,N/A,20mm,Good,N/A,Active,Data lost,South,
STN_0413,Pacific,,60,Twenty,rainy,Excellent,,,,West,
STN_0414,Pacific,-5.2,100%,N/A,4.5,Moderate,10/02/2025,FAULTY,,Unknown,N/A
STN_0415,Pacific,40.3,90,15km/h,rainy,Good,2025-10-01,,Calibration needed,North,Two Thousand
STN_0416,Himalaya,30.1,35,15km/h,,Severe,N/A,FAULTY,Storm impact,Unknown,550
STN_0417,Himalaya,22.5,75,18.2,0,Poor,03-10-25,Inactive,Data lost,East,N/A
STN_0418,,15.7,35,,20mm,,N/A,OFF,Storm impact,East,120
STN_0419,Sahara,-5.2,90,Twenty,rainy,Good,03-10-25,Active,Calibration needed,,550
STN_0420,,-5.2,eighty,Twenty,rainy,Moderate,,,Data lost,South,
STN_0421,Arctic,30.1,45,25.7,0,,03-10-25,FAULTY,Data lost,East,550
STN_0422,Amazon,,45,25.7,20mm,Poor,,ok,normal,Unknown,Two Thousand
STN_0423,Pacific,N/A,,N/A,4.5,Severe,2025-10-01,Active,Storm impact,South,120
STN_0424,Sahara,N/A,,Twenty,0,Excellent,03-10-25,Inactive,Check sensor,East,Two Thousand
STN_0425,Amazon,-5.2,35,N/A,rainy,,N/A,FAULTY,,,120
STN_0426,Sahara,thirty,100%,N/A,4.5,Excellent,,OFF,Check sensor,West,N/A
STN_0427,Desrt ,thirty,75,25.7,4.5,Good,N/A,OFF,Storm impact,,
STN_0428,,30.1,eighty,,0,Poor,10/02/2025,Inactive,,North,120
STN_0429,Himalaya,N/A,60,N/A,rainy,Moderate,,Inactive,Check sensor,East,120
STN_0430,Pacific,-5.2,90,12.5,,Poor,03-10-25,OFF,normal,North,120
STN_0431,,,100%,,rainy,Poor,,,,North,550
STN_0432,Amazon,N/A,75,Twenty,12.3,150,N/A,,Data lost,Unknown,N/A
STN_0433,Desrt ,-5.2,,Twenty,20mm,Poor,2025-10-01,FAULTY,Check sensor,South,550
STN_0434,Desrt ,-5.2,35,N/A,0.0,Poor,,ok,,Unknown,
STN_0435,Desrt ,22.5,90,,,,03-10-25,FAULTY,normal,East,120
STN_0436,Amazon,,,25.7,4.5,Moderate,10/02/2025,ok,,North,N/A
STN_0437,Amazon,22.5,35,25.7,,,2025-10-01,Inactive,,West,N/A
STN_0438,Amazon,30.1,90,15km/h,20mm,,10/02/2025,Active,normal,North,2300
STN_0439,Amazon,22.5,60,Twenty,4.5,Good,,FAULTY,Check sensor,West,
STN_0440,Desrt ,15.7,75,18.2,20mm,,N/A,FAULTY,Calibration needed,Unknown,N/A
STN_0441,Desrt ,22.5,90,15km/h,4.5,150,N/A,ok,Check sensor,Unknown,120
STN_0442,Sahara,15.7,eighty,25.7,,150,03-10-25,Inactive,Storm impact,South,120
STN_0443,,N/A,100%,,4.5,Excellent,N/A,Inactive,normal,North,N/A
STN_0444,Pacific,thirty,45,25.7,4.5,Good,2025-10-01,ok,Check sensor,,550
STN_0445,Himalaya,40.3,eighty,,12.3,Excellent,N/A,Inactive,,Unknown,
STN_0446,Desrt ,40.3,eighty,15km/h,rainy,Excellent,03-10-25,OFF,normal,Unknown,120
STN_0447,Himalaya,-5.2,100%,Twenty,rainy,Severe,,,Data lost,South,N/A
STN_0448,,40.3,45,25.7,0.0,Moderate,,OFF,Check sensor,West,120
STN_0449,,15.7,eighty,N/A,0.0,Moderate,N/A,Active,normal,South,N/A
STN_0450,Himalaya,,90,,12.3,,10/02/2025,FAULTY,Check sensor,North,
STN_0451,Desrt ,22.5,90,Twenty,0.0,,,Active,normal,East,N/A
STN_0452,Himalaya,15.7,90,18.2,20mm,Severe,N/A,FAULTY,,East,2300
STN_0453,Sahara,,45,,,,03-10-25,,Data lost,West,N/A
STN_0454,Arctic,thirty,eighty,15km/h,0,Moderate,N/A,Inactive,Data lost,Unknown,N/A
STN_0455,Desrt ,40.3,35,18.2,20mm,Excellent,,OFF,Storm impact,West,
STN_0456,Desrt ,thirty,45,18.2,0,Poor,03-10-25,ok,normal,Unknown,N/A
,Pacific,40.3,90,12.5,0,150,N/A,OFF,Check sensor,Unknown,
STN_0458,Amazon,22.5,100%,25.7,12.3,Poor,2025-10-01,,Data lost,East,2300
STN_0459,Arctic,30.1,eighty,,20mm,Poor,03-10-25,Active,Data lost,West,
STN_0460,,22.5,eighty,18.2,12.3,Moderate,2025-10-01,ok,Calibration needed,South,120
STN_0461,Desrt ,N/A,,12.5,4.5,Poor,10/02/2025,Inactive,Calibration needed,Unknown,
STN_0462,Himalaya,15.7,,15km/h,0,Severe,03-10-25,,Data lost,,2300
STN_0463,Arctic,-5.2,60,Twenty,,Good,2025-10-01,ok,normal,,Two Thousand
STN_0464,Pacific,30.1,35,N/A,0.0,,,,Storm impact,South,N/A
STN_0465,,22.5,35,N/A,,Good,,,Data lost,,
STN_0466,Amazon,,75,,0.0,Excellent,10/02/2025,Inactive,,North,N/A
STN_0467,Amazon,30.1,35,18.2,0,150,03-10-25,FAULTY,Check sensor,Unknown,550
STN_0468,Pacific,15.7,,N/A,0,,03-10-25,ok,Storm impact,South,120
STN_0469,Pacific,40.3,45,25.7,0,Poor,03-10-25,Inactive,,West,120
STN_0470,Himalaya,30.1,35,N/A,12.3,150,10/02/2025,,Storm impact,Unknown,550
,Desrt ,40.3,,N/A,20mm,,03-10-25,Inactive,,South,550
STN_0472,Amazon,15.7,60,N/A,0.0,Severe,,FAULTY,Check sensor,East,
STN_0473,,22.5,eighty,12.5,20mm,Severe,2025-10-01,OFF,Check sensor,West,550
STN_0474,Arctic,15.7,35,18.2,12.3,Severe,,ok,Calibration needed,East,Two Thousand
STN_0475,,30.1,60,25.7,12.3,Severe,,FAULTY,normal,Unknown,N/A
STN_0476,Sahara,,eighty,18.2,rainy,Poor,2025-10-01,Active,,West,N/A
STN_0477,Sahara,thirty,100%,,,Good,,ok,Calibration needed,,2300
STN_0478,Pacific,30.1,100%,,,,10/02/2025,FAULTY,,South,550
STN_0479,Himalaya,15.7,eighty,,4.5,Poor,2025-10-01,,Calibration needed,Unknown,550
STN_0480,Sahara,thirty,35,15km/h,12.3,Severe,,ok,Check sensor,North,Two Thousand
STN_0481,Amazon,15.7,75,N/A,0.0,Excellent,N/A,ok,Storm impact,West,120
STN_0482,,,,15km/h,rainy,Good,,Inactive,Calibration needed,West,120
STN_0483,,15.7,45,12.5,rainy,Excellent,10/02/2025,,,Unknown,N/A
STN_0484,Pacific,22.5,45,,20mm,150,03-10-25,Active,,Unknown,N/A
STN_0485,Desrt ,-5.2,90,25.7,,Excellent,,OFF,normal,East,
STN_0486,Desrt ,40.3,eighty,18.2,12.3,150,03-10-25,FAULTY,Check sensor,,Two Thousand
STN_0487,Arctic,40.3,45,N/A,4.5,150,N/A,Inactive,,East,2300
STN_0488,Pacific,30.1,35,Twenty,12.3,Severe,,FAULTY,Data lost,East,2300
STN_0489,Arctic,-5.2,75,25.7,20mm,150,2025-10-01,Active,Storm impact,,Two Thousand
STN_0490,Desrt ,15.7,eighty,N/A,0,Moderate,03-10-25,Active,Calibration needed,North,2300
STN_0491,Pacific,,75,15km/h,12.3,,N/A,ok,normal,East,120
STN_0492,Pacific,30.1,35,15km/h,20mm,,2025-10-01,Active,Storm impact,East,2300
STN_0493,Pacific,15.7,45,25.7,0,Severe,2025-10-01,FAULTY,Check sensor,West,2300
STN_0494,Desrt ,thirty,45,15km/h,0,Moderate,2025-10-01,,normal,,Two Thousand
STN_0495,Arctic,N/A,90,,4.5,Excellent,2025-10-01,,Calibration needed,South,Two Thousand
STN_0496,Arctic,15.7,45,12.5,0.0,Poor,,ok,Calibration needed,North,2300
STN_0497,Pacific,-5.2,eighty,18.2,,Excellent,,OFF,Data lost,North,550
STN_0498,Sahara,30.1,35,12.5,12.3,Poor,,FAULTY,Check sensor,,Two Thousand
STN_0499,Himalaya,-5.2,100%,N/A,0,150,N/A,FAULTY,normal,Unknown,
STN_0500,Desrt ,30.1,35,18.2,12.3,Good,N/A,Active,normal,Unknown,
